,a1,a2,d1,d2,wins,loses,ties,wr
0,Random Agent,Greedy Agent,Mage,Mage,0,100,0,0.0
1,Random Agent,Greedy Agent,Mage,Warrior,8,92,0,0.08
2,Random Agent,Greedy Agent,Mage,Shaman,1,99,0,0.01
3,Random Agent,Greedy Agent,Warrior,Mage,34,66,0,0.34
4,Random Agent,Greedy Agent,Warrior,Warrior,7,93,0,0.07
5,Random Agent,Greedy Agent,Warrior,Shaman,25,75,0,0.25
6,Random Agent,Greedy Agent,Shaman,Mage,15,85,0,0.15
7,Random Agent,Greedy Agent,Shaman,Warrior,25,75,0,0.25
8,Random Agent,Greedy Agent,Shaman,Shaman,1,99,0,0.01
9,Random Agent,MCTS,Mage,Mage,1,99,0,0.01
10,Random Agent,MCTS,Mage,Warrior,1,99,0,0.01
11,Random Agent,MCTS,Mage,Shaman,0,100,0,0.0
12,Random Agent,MCTS,Warrior,Mage,1,99,0,0.01
13,Random Agent,MCTS,Warrior,Warrior,0,100,0,0.0
14,Random Agent,MCTS,Warrior,Shaman,0,100,0,0.0
15,Random Agent,MCTS,Shaman,Mage,1,99,0,0.01
16,Random Agent,MCTS,Shaman,Warrior,0,100,0,0.0
17,Random Agent,MCTS,Shaman,Shaman,1,99,0,0.01
18,Random Agent,2 Step Look Ahead,Mage,Mage,0,100,0,0.0
19,Random Agent,2 Step Look Ahead,Mage,Warrior,0,100,0,0.0
20,Random Agent,2 Step Look Ahead,Mage,Shaman,0,100,0,0.0
21,Random Agent,2 Step Look Ahead,Warrior,Mage,0,100,0,0.0
22,Random Agent,2 Step Look Ahead,Warrior,Warrior,0,100,0,0.0
23,Random Agent,2 Step Look Ahead,Warrior,Shaman,1,99,0,0.01
24,Random Agent,2 Step Look Ahead,Shaman,Mage,0,100,0,0.0
25,Random Agent,2 Step Look Ahead,Shaman,Warrior,0,100,0,0.0
26,Random Agent,2 Step Look Ahead,Shaman,Shaman,0,100,0,0.0
27,Random Agent,Weighted 2 Step Look Ahead,Mage,Mage,0,100,0,0.0
28,Random Agent,Weighted 2 Step Look Ahead,Mage,Warrior,1,99,0,0.01
29,Random Agent,Weighted 2 Step Look Ahead,Mage,Shaman,2,97,0,0.020202020202020204
30,Random Agent,Weighted 2 Step Look Ahead,Warrior,Mage,13,86,0,0.13131313131313133
31,Random Agent,Weighted 2 Step Look Ahead,Warrior,Warrior,2,98,0,0.02
32,Random Agent,Weighted 2 Step Look Ahead,Warrior,Shaman,4,96,0,0.04
33,Random Agent,Weighted 2 Step Look Ahead,Shaman,Mage,21,79,0,0.21
34,Random Agent,Weighted 2 Step Look Ahead,Shaman,Warrior,5,95,0,0.05
